Jobid	Jobname	Time1	Startime	Lock	energy	node1	nodo2	nodo3	nodo4	nodo5	nodo6	nodo7	nodo8	nodo9	nodo10	nodo11	nodo12	nodo13	nodo14	nodo15	nodo16
889478	SPKFT1_nf0_cp484_tnp485_ms31680_single_lbn_r1_W8_20231128_101620	2023-11-29 03:00:26	1701223217	D	0.02017	cresco6x125	cresco6x306	cresco6x316	cresco6x328	cresco6x187	cresco6x192	cresco6x195	cresco6x061	cresco6x065	cresco6x073	cresco6x078					
889479	IMeCOFT1_nf1_cp484_tnp506_ms31680_single_lbn_r1_W8_20231128_101621	2023-11-29 03:01:16	1701223266	D	0.12255	cresco6x285	cresco6x319	cresco6x203	cresco6x074	cresco6x081	cresco6x088	cresco6x213	cresco6x111	cresco6x144	cresco6x206	cresco6x060					
889480	SPKFT1_nf1_cp484_tnp485_ms31680_single_lbn_r1_W8_20231128_101621	2023-11-29 03:04:03	1701223433	D	0.02008	cresco6x279	cresco6x106	cresco6x138	cresco6x145	cresco6x189	cresco6x196	cresco6x210	cresco6x222	cresco6x090	cresco6x033	cresco6x140					
889481	IMeCOFT2_nf0_cp484_tnp528_ms31680_single_lbn_r1_W8_20231128_101621	2023-11-29 03:04:58	1701223488	D	0.12591	cresco6x277	cresco6x139	cresco6x306	cresco6x328	cresco6x187	cresco6x340	cresco6x192	cresco6x195	cresco6x224	cresco6x073	cresco6x087					
889482	SPKFT2_nf0_cp484_tnp486_ms31680_single_lbn_r1_W8_20231128_101621	2023-11-29 03:07:44	1701223654	D	0.02002	cresco6x108	cresco6x289	cresco6x115	cresco6x296	cresco6x131	cresco6x132	cresco6x146	cresco6x153	cresco6x167	cresco6x206	cresco6x060					
889483	IMeCOFT2_nf2_cp484_tnp528_ms31680_single_lbn_r1_W8_20231128_101621	2023-11-29 03:08:39	1701223709	D	0.12731	cresco6x122	cresco6x133	cresco6x138	cresco6x145	cresco6x210	cresco6x061	cresco6x081	cresco6x088	cresco6x246	cresco6x168	cresco6x111					
889484	SPKFT2_nf2_cp484_tnp486_ms31680_single_lbn_r1_W8_20231128_101621	2023-11-29 03:11:28	1701223879	D	0.01953	cresco6x106	cresco6x295	cresco6x337	cresco6x192	cresco6x048	cresco6x203	cresco6x073	cresco6x074	cresco6x078	cresco6x090	cresco6x091					
889485	IMeCOFT4_nf0_cp484_tnp572_ms31680_single_lbn_r1_W8_20231128_101621	2023-11-29 03:12:18	1701223928	D	0.13781	cresco6x139	cresco6x328	cresco6x060	cresco6x224	cresco6x257	cresco6x025	cresco6x279	cresco6x213	cresco6x186	cresco6x087	cresco6x296	cresco6x153				
889486	SPKFT4_nf0_cp484_tnp488_ms31680_single_lbn_r1_W8_20231128_101621	2023-11-29 03:15:05	1701224095	D	0.01921	cresco6x285	cresco6x289	cresco6x122	cresco6x131	cresco6x306	cresco6x319	cresco6x340	cresco6x195	cresco6x196	cresco6x211	cresco6x222					
889487	IMeCOFT4_nf4_cp484_tnp572_ms31680_single_lbn_r1_W8_20231128_101622	2023-11-29 03:16:30	1701224181	D	0.14190	cresco6x335	cresco6x108	cresco6x193	cresco6x025	cresco6x206	cresco6x186	cresco6x225	cresco6x163	cresco6x066	cresco6x224	cresco6x115	cresco6x146				
889488	SPKFT4_nf4_cp484_tnp488_ms31680_single_lbn_r1_W8_20231128_101622	2023-11-29 03:19:20	1701224351	D	0.02027	cresco6x146	cresco6x108	cresco6x335	cresco6x206	cresco6x224	cresco6x225	cresco6x193	cresco6x186	cresco6x163	cresco6x115	cresco6x066					
889489	IMeCOFT8_nf0_cp484_tnp660_ms31680_single_lbn_r1_W8_20231128_101622	2023-11-29 03:27:11	1701224822	D	0.16113	cresco6x108	cresco6x146	cresco6x066	cresco6x225	cresco6x163	cresco6x025	cresco6x186	cresco6x224	cresco6x115	cresco6x335	cresco6x193	cresco6x206	cresco6x053	cresco6x184		
