ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCOft    double     4   4   100     40      140     5280    3      2   2   -       -    Y     24      1   5    IMeCOFT4_nf4_cp100_tnp140_ms5280_double_lby_r1_W5_20231125_072349                                   
SPKft      double     4   4   100     4       104     5280    3      2   2   2640    24   Y     18      1   5    SPKFT4_nf4_cp100_tnp104_ms5280_double_lby_r1_W5_20231125_072349                                     
IMeCOft    double     8   0   100     80      180     5280    4      2   2   -       -    Y     23      1   5    IMeCOFT8_nf0_cp100_tnp180_ms5280_double_lby_r1_W5_20231125_072350                                   
SPKft      double     8   0   100     8       108     5280    3      2   2   2640    24   Y     18      1   5    SPKFT8_nf0_cp100_tnp108_ms5280_double_lby_r1_W5_20231125_072350                                     
IMeCOft    double     8   8   100     80      180     5280    4      2   2   -       -    Y     23      1   5    IMeCOFT8_nf8_cp100_tnp180_ms5280_double_lby_r1_W5_20231125_072350                                   
SPKft      double     8   8   100     8       108     5280    3      2   2   2640    24   Y     18      1   5    SPKFT8_nf8_cp100_tnp108_ms5280_double_lby_r1_W5_20231125_072350                                     
IMeCO      single     -   -   144     0       144     5280    3      -   -   -       -    N     -       1   5    IMeCOFT0_cp144_tnp144_ms5280_single_lbn_r1_W5_20231125_072350                                       
SPK        single     -   -   144     0       144     5280    3      -   -   -       -    N     -       1   5    SPKFT0_cp144_tnp144_ms5280_single_lbn_r1_W5_20231125_072350                                         
IMeCOft    single     1   0   144     12      156     5280    4      2   2   -       -    N     -       1   5    IMeCOFT1_nf0_cp144_tnp156_ms5280_single_lbn_r1_W5_20231125_072350                                   
SPKft      single     1   0   144     1       145     5280    4      2   2   2640    22   N     -       1   5    SPKFT1_nf0_cp144_tnp145_ms5280_single_lbn_r1_W5_20231125_072350                                     
