jobid	nodename	tempo	timestamp_measure	sys_power	cpu_power	mem_power	sys_util	cpu_util	mem_util	io_util	amb_temp	cpu1_temp	cpu2_temp	exh_temp	sysairflow	fan1a	fan1b	fan2a	fan2b	fan3a	fan3b	fan4a	fan4b	fan5a	fan5b	dcenergy	note	delta_e
901233	cresco6x146	Wed  6 Dec 16:01:23 CET 2023	1701874883	130.00	90.00	10.00	38.00	0.00	0.00	0.00	18.00	36.00	34.00	32.00	12.00	6912.00000	6912.00000	9344.00000	9856.00000	9216.00000	0.00000	9344.00000	9856.00000	6912.00000	6912.00000	71.77951		0.00007
901233	cresco6x138	Wed  6 Dec 16:01:21 CET 2023	1701874881	130.00	90.00	9.00	1.00	0.00	0.00	0.00	18.00	36.00	34.00	25.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	204.79132		0.00007
901233	cresco6x138	Wed  6 Dec 16:01:20 CET 2023	1701874880	330.00	270.00	15.00	1.00	0.00	0.00	0.00	18.00	36.00	34.00	25.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	204.79125		0.00008
901233	cresco6x146	Wed  6 Dec 16:01:20 CET 2023	1701874880	290.00	240.00	14.00	1.00	0.00	0.00	0.00	18.00	36.00	34.00	32.00	12.00	6912.00000	7040.00000	9472.00000	9856.00000	9472.00000	0.00000	9344.00000	9856.00000	6912.00000	7040.00000	71.77940		0.00015
901233	cresco6x138	Wed  6 Dec 16:01:18 CET 2023	1701874878	260.00	210.00	13.00	1.00	0.00	0.00	0.00	18.00	36.00	34.00	25.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	204.79117		0.00009
901233	cresco6x146	Wed  6 Dec 16:01:18 CET 2023	1701874878	330.00	270.00	15.00	1.00	0.00	0.00	0.00	18.00	36.00	34.00	32.00	12.00	6912.00000	7040.00000	9472.00000	9856.00000	9472.00000	0.00000	9344.00000	9856.00000	6912.00000	7040.00000	71.77925		0.00010
901233	cresco6x138	Wed  6 Dec 16:01:17 CET 2023	1701874877	130.00	90.00	9.00	1.00	0.00	0.00	0.00	18.00	36.00	34.00	25.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	204.79108		0.00011
901233	cresco6x146	Wed  6 Dec 16:01:17 CET 2023	1701874877	130.00	100.00	10.00	1.00	0.00	0.00	0.00	18.00	36.00	34.00	32.00	12.00	6912.00000	7040.00000	9472.00000	9856.00000	9472.00000	0.00000	9344.00000	9856.00000	6912.00000	7040.00000	71.77915		0.00005
901233	cresco6x138	Wed  6 Dec 16:01:15 CET 2023	1701874875	130.00	100.00	9.00	1.00	0.00	0.00	0.00	18.00	36.00	34.00	25.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	204.79097		0.00004
901233	cresco6x146	Wed  6 Dec 16:01:16 CET 2023	1701874876	130.00	90.00	11.00	1.00	0.00	0.00	0.00	18.00	35.00	34.00	32.00	13.00	6912.00000	7040.00000	9472.00000	9856.00000	9472.00000	0.00000	9344.00000	9856.00000	6912.00000	7040.00000	71.77910		0.00008
