jobid	nodename	tempo	timestamp_measure	sys_power	cpu_power	mem_power	sys_util	cpu_util	mem_util	io_util	amb_temp	cpu1_temp	cpu2_temp	exh_temp	sysairflow	fan1a	fan1b	fan2a	fan2b	fan3a	fan3b	fan4a	fan4b	fan5a	fan5b	dcenergy	note	delta_e
879962	cresco6x186	Tue 21 Nov 22:29:50 CET 2023	1700602190	260.00	210.00	13.00	98.00	98.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8320.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15260		0.00008
879962	cresco6x114	Tue 21 Nov 22:29:50 CET 2023	1700602190	320.00	250.00	28.00	74.00	97.00	41.00	0.00	19.00	70.00	67.00	43.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.42938		0.00018
879962	cresco6x184	Tue 21 Nov 22:29:50 CET 2023	1700602190	130.00	100.00	11.00	8.00	7.00	0.00	0.00	18.00	38.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33676		0.00000
879962	cresco6x184	Tue 21 Nov 22:29:49 CET 2023	1700602189	130.00	100.00	10.00	8.00	7.00	0.00	0.00	18.00	38.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33676		0.00008
879962	cresco6x186	Tue 21 Nov 22:29:49 CET 2023	1700602189	260.00	210.00	13.00	98.00	98.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8448.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15252		0.00007
879962	cresco6x114	Tue 21 Nov 22:29:49 CET 2023	1700602189	320.00	250.00	28.00	74.00	97.00	41.00	0.00	19.00	70.00	67.00	43.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.42920		0.00000
879962	cresco6x186	Tue 21 Nov 22:29:48 CET 2023	1700602188	260.00	210.00	13.00	98.00	98.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8448.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15245		0.00007
879962	cresco6x114	Tue 21 Nov 22:29:48 CET 2023	1700602188	320.00	250.00	28.00	74.00	97.00	41.00	0.00	19.00	70.00	67.00	43.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.42920		0.00009
879962	cresco6x184	Tue 21 Nov 22:29:48 CET 2023	1700602188	130.00	100.00	13.00	8.00	7.00	0.00	0.00	18.00	38.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33668		0.00003
879962	cresco6x186	Tue 21 Nov 22:29:47 CET 2023	1700602187	260.00	210.00	13.00	98.00	98.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8448.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15238		0.00008
