jobid,energy_from_delta_e,energy_from_subtraction,mean_sys_power,max_sys_power,energy_equal,error_code,runtime,matrix_size,precision,balanced,rank_assignment,number_of_nodes,total_proc,algorithm,mean_sys_power_from_delta_e
880072,0.090780,0.090780,1052.700965,1200,True,0.000000,304.000000,26400.000000,single,n,f,4.000000,156.000000,IMeCO,1075.026316
880073,0.009070,0.009070,854.871795,1140,True,0.000000,33.000000,26400.000000,single,n,f,4.000000,145.000000,SPK,989.454545
880074,0.078760,0.078760,1063.233083,1240,True,0.000000,259.000000,26400.000000,single,n,f,4.000000,156.000000,IMeCO,1094.733591
880075,0.008230,0.008230,815.405405,1130,True,-99.000000,31.000000,26400.000000,single,n,f,4.000000,145.000000,SPK,955.741935
880076,0.079740,0.079740,1111.853282,1290,True,0.000000,253.000000,26400.000000,single,n,f,4.000000,168.000000,IMeCO,1134.640316
880077,0.009010,0.009010,831.500000,1130,True,0.000000,34.000000,26400.000000,single,n,f,4.000000,146.000000,SPK,954.000000
880078,0.082460,0.082460,1118.270677,1290,True,0.000000,260.000000,26400.000000,single,n,f,4.000000,168.000000,IMeCO,1141.753846
880079,0.008180,0.008180,804.864865,1140,True,-99.000000,30.000000,26400.000000,single,n,f,4.000000,146.000000,SPK,981.600000
880080,0.086670,0.086670,1201.846154,1400,True,0.000000,253.000000,26400.000000,single,n,f,4.000000,192.000000,IMeCO,1233.249012
880081,0.008670,0.008670,858.378378,1150,True,0.000000,31.000000,26400.000000,single,n,f,4.000000,148.000000,SPK,1006.838710
880082,0.091490,0.091490,1209.340659,1390,True,0.000000,266.000000,26400.000000,single,n,f,4.000000,192.000000,IMeCO,1238.210526
880083,0.008630,0.008630,859.189189,1150,True,-99.000000,31.000000,26400.000000,single,n,f,4.000000,148.000000,SPK,1002.193548
880084,0.107930,0.107930,1479.274809,1740,True,0.000000,256.000000,26400.000000,single,n,f,5.000000,240.000000,IMeCO,1517.765625
880085,0.009600,0.009600,850.000000,1140,True,0.000000,36.000000,26400.000000,single,n,f,4.000000,152.000000,SPK,960.000000
880086,0.109910,0.109910,1503.193916,1760,True,0.000000,257.000000,26400.000000,single,n,f,5.000000,240.000000,IMeCO,1539.595331
880087,0.008730,0.008730,852.105263,1130,True,-99.000000,32.000000,26400.000000,single,n,f,4.000000,152.000000,SPK,982.125000
880088,0.129930,0.129930,881.306818,1010,True,0.000000,521.000000,26400.000000,double,n,f,3.000000,144.000000,IMeCO,897.788868
880089,0.010970,0.010970,796.600000,1040,True,0.000000,44.000000,26400.000000,double,n,f,3.000000,144.000000,SPK,897.545455
880090,0.154370,0.154370,1023.222836,1170,True,1.000000,536.000000,26400.000000,double,n,f,4.000000,156.000000,IMeCO,1036.813433
880091,0.013530,0.013530,908.235294,1130,True,0.000000,47.000000,26400.000000,double,n,f,4.000000,145.000000,SPK,1036.340426
880092,0.154620,0.154620,1067.115385,1200,True,0.000000,515.000000,26400.000000,double,n,f,4.000000,156.000000,IMeCO,1080.838835
880093,0.014840,0.014840,935.344828,1160,True,-99.000000,51.000000,26400.000000,double,n,f,4.000000,145.000000,SPK,1047.529412
880094,0.158530,0.158530,1107.558140,1230,True,0.000000,509.000000,26400.000000,double,n,f,4.000000,168.000000,IMeCO,1121.233792
880095,0.013240,0.013240,927.307692,1160,True,0.000000,45.000000,26400.000000,double,n,f,4.000000,146.000000,SPK,1059.200000
880096,0.165050,0.165050,1097.195572,1220,True,0.000000,535.000000,26400.000000,double,n,f,4.000000,168.000000,IMeCO,1110.616822
880097,0.013010,0.013010,931.960784,1140,True,-99.000000,44.000000,26400.000000,double,n,f,4.000000,146.000000,SPK,1064.454545
880098,0.172070,0.172070,1185.988484,1340,True,0.000000,515.000000,26400.000000,double,n,f,4.000000,192.000000,IMeCO,1202.819417
880099,0.015110,0.015110,942.203390,1180,True,0.000000,53.000000,26400.000000,double,n,f,4.000000,148.000000,SPK,1026.339623
880100,0.171560,0.171560,1190.038536,1330,True,0.000000,514.000000,26400.000000,double,n,f,4.000000,192.000000,IMeCO,1201.587549
880101,0.014220,0.014220,917.017544,1170,True,-99.000000,50.000000,26400.000000,double,n,f,4.000000,148.000000,SPK,1023.840000
880102,0.216050,0.216050,1490.440613,1670,True,0.000000,517.000000,26400.000000,double,n,f,5.000000,240.000000,IMeCO,1504.410058
880103,0.013220,0.013220,954.117647,1170,True,0.000000,45.000000,26400.000000,double,n,f,4.000000,152.000000,SPK,1057.600000
880104,0.213230,0.213230,1472.130518,1660,True,0.000000,516.000000,26400.000000,double,n,f,5.000000,240.000000,IMeCO,1487.651163
880105,0.013050,0.013050,934.117647,1180,True,-99.000000,45.000000,26400.000000,double,n,f,4.000000,152.000000,SPK,1044.000000
880106,0.034450,0.034450,779.375000,960,True,0.000000,155.000000,21120.000000,single,y,s,3.000000,100.000000,IMeCO,800.129032
880107,0.004330,0.004330,574.642857,830,True,0.000000,22.000000,21120.000000,single,y,s,3.000000,100.000000,SPK,708.545455
880108,0.033510,0.033510,795.424837,950,True,0.000000,148.000000,21120.000000,single,y,s,3.000000,110.000000,IMeCO,815.108108
880109,0.004250,0.004250,552.500000,840,True,0.000000,22.000000,21120.000000,single,y,s,3.000000,101.000000,SPK,695.454545
880110,0.032990,0.032990,797.666667,970,True,0.000000,142.000000,21120.000000,single,y,s,3.000000,110.000000,IMeCO,836.366197
880111,0.004130,0.004130,559.642857,840,True,-99.000000,21.000000,21120.000000,single,y,s,3.000000,101.000000,SPK,708.000000
880112,0.036230,0.036230,830.316456,1000,True,0.000000,151.000000,21120.000000,single,y,s,3.000000,120.000000,IMeCO,863.761589
880113,0.004140,0.004140,561.851852,840,True,0.000000,20.000000,21120.000000,single,y,s,3.000000,102.000000,SPK,745.200000
880114,0.036290,0.036290,827.044025,1000,True,0.000000,153.000000,21120.000000,single,y,s,3.000000,120.000000,IMeCO,853.882353
880115,0.004340,0.004340,574.642857,840,True,-99.000000,21.000000,21120.000000,single,y,s,3.000000,102.000000,SPK,744.000000
880116,0.047950,0.047950,869.195980,1020,True,0.000000,192.000000,21120.000000,single,y,f,3.000000,140.000000,IMeCO,899.062500
880117,0.004070,0.004070,568.148148,840,True,0.000000,20.000000,21120.000000,single,y,s,3.000000,104.000000,SPK,732.600000
880118,0.045270,0.045270,880.540541,1030,True,0.000000,179.000000,21120.000000,single,y,f,3.000000,140.000000,IMeCO,910.458101
880119,0.004030,0.004030,599.200000,830,True,-99.000000,20.000000,21120.000000,single,y,s,3.000000,104.000000,SPK,725.400000
880120,0.059270,0.059270,1145.913978,1360,True,0.000000,179.000000,21120.000000,single,y,s,4.000000,180.000000,IMeCO,1192.022346
880121,0.005150,0.005150,589.062500,850,True,0.000000,25.000000,21120.000000,single,y,s,3.000000,108.000000,SPK,741.600000
880122,0.057840,0.057840,1137.868852,1340,True,0.000000,177.000000,21120.000000,single,y,s,4.000000,180.000000,IMeCO,1176.406780
880123,0.005120,0.005120,571.515152,840,True,-99.000000,26.000000,21120.000000,single,y,s,3.000000,108.000000,SPK,708.923077
880124,0.058300,0.058300,768.639706,890,True,0.000000,266.000000,21120.000000,double,y,s,3.000000,100.000000,IMeCO,789.022556
880125,0.007660,0.007660,632.272727,840,True,0.000000,37.000000,21120.000000,double,y,s,3.000000,100.000000,SPK,745.297297
880126,0.064140,0.064140,782.905405,900,True,0.000000,289.000000,21120.000000,double,y,s,3.000000,110.000000,IMeCO,798.975779
880127,0.006750,0.006750,651.578947,860,True,0.000000,32.000000,21120.000000,double,y,s,3.000000,101.000000,SPK,759.375000
880128,0.065670,0.065670,803.412162,920,True,0.000000,289.000000,21120.000000,double,y,s,3.000000,110.000000,IMeCO,818.034602
880129,0.007370,0.007370,653.170732,860,True,-99.000000,35.000000,21120.000000,double,y,s,3.000000,101.000000,SPK,758.057143
880130,0.071030,0.071030,830.519481,940,True,0.000000,301.000000,21120.000000,double,y,s,3.000000,120.000000,IMeCO,849.528239
880131,0.006690,0.006690,649.473684,870,True,0.000000,31.000000,21120.000000,double,y,s,3.000000,102.000000,SPK,776.903226
880132,0.072590,0.072590,827.111111,940,True,0.000000,310.000000,21120.000000,double,y,s,3.000000,120.000000,IMeCO,842.980645
880133,0.006710,0.006710,640.526316,860,True,-99.000000,31.000000,21120.000000,double,y,s,3.000000,102.000000,SPK,779.225806
880134,0.090800,0.090800,877.345845,990,True,0.000000,367.000000,21120.000000,double,y,f,3.000000,140.000000,IMeCO,890.681199
880135,0.007000,0.007000,626.341463,860,True,0.000000,34.000000,21120.000000,double,y,s,3.000000,104.000000,SPK,741.176471
880136,0.091750,0.091750,887.077748,990,True,0.000000,366.000000,21120.000000,double,y,f,3.000000,140.000000,IMeCO,902.459016
880137,0.006940,0.006940,643.250000,860,True,-99.000000,33.000000,21120.000000,double,y,s,3.000000,104.000000,SPK,757.090909
880138,0.115140,0.115140,1162.696629,1310,True,0.000000,349.000000,21120.000000,double,y,s,4.000000,180.000000,IMeCO,1187.690544
880139,0.007010,0.007010,643.750000,870,True,0.000000,44.000000,21120.000000,double,y,s,3.000000,108.000000,SPK,573.545455
880140,0.114600,0.114600,1168.498584,1310,True,0.000000,347.000000,21120.000000,double,y,s,4.000000,180.000000,IMeCO,1188.933718
880141,0.006620,0.006620,597.631579,860,True,-99.000000,32.000000,21120.000000,double,y,s,3.000000,108.000000,SPK,744.750000
880142,0.065870,0.065870,807.823129,970,True,0.000000,288.000000,26400.000000,single,y,s,3.000000,100.000000,IMeCO,823.375000
880143,0.006700,0.006700,618.205128,840,True,0.000000,33.000000,26400.000000,single,y,s,3.000000,100.000000,SPK,730.909091
880144,0.065960,0.065960,814.863014,960,True,0.000000,286.000000,26400.000000,single,y,s,3.000000,110.000000,IMeCO,830.265734
880145,0.006510,0.006510,639.459459,840,True,0.000000,31.000000,26400.000000,single,y,s,3.000000,101.000000,SPK,756.000000
880146,0.064990,0.064990,808.137931,960,True,0.000000,283.000000,26400.000000,single,y,s,3.000000,110.000000,IMeCO,826.727915
880147,0.006530,0.006530,614.871795,820,True,-99.000000,32.000000,26400.000000,single,y,s,3.000000,101.000000,SPK,734.625000
880148,0.070690,0.070690,834.802632,980,True,0.000000,298.000000,26400.000000,single,y,s,3.000000,120.000000,IMeCO,853.973154
880149,0.007100,0.007100,633.170732,840,True,0.000000,35.000000,26400.000000,single,y,s,3.000000,102.000000,SPK,730.285714
880150,0.070400,0.070400,839.966997,990,True,0.000000,296.000000,26400.000000,single,y,s,3.000000,120.000000,IMeCO,856.216216
880151,0.006520,0.006520,626.756757,840,True,-99.000000,31.000000,26400.000000,single,y,s,3.000000,102.000000,SPK,757.161290
880152,0.088280,0.088280,896.292135,1030,True,0.000000,349.000000,26400.000000,single,y,f,3.000000,140.000000,IMeCO,910.624642
880153,0.006590,0.006590,645.405405,850,True,0.000000,31.000000,26400.000000,single,y,s,3.000000,104.000000,SPK,765.290323
880154,0.088630,0.088630,897.528090,1030,True,0.000000,349.000000,26400.000000,single,y,f,3.000000,140.000000,IMeCO,914.234957
880155,0.006480,0.006480,650.270270,840,True,-99.000000,31.000000,26400.000000,single,y,s,3.000000,104.000000,SPK,752.516129
880156,0.111400,0.111400,1178.794118,1350,True,0.000000,334.000000,26400.000000,single,y,s,4.000000,180.000000,IMeCO,1200.718563
880157,0.006590,0.006590,635.000000,850,True,0.000000,31.000000,26400.000000,single,y,s,3.000000,108.000000,SPK,765.290323
880158,0.115050,0.115050,1198.468208,1380,True,0.000000,340.000000,26400.000000,single,y,s,4.000000,180.000000,IMeCO,1218.176471
880159,0.006700,0.006700,655.675676,870,True,-99.000000,30.000000,26400.000000,single,y,s,3.000000,108.000000,SPK,804.000000
880160,0.111380,0.111380,782.529183,910,True,0.000000,508.000000,26400.000000,double,y,s,3.000000,100.000000,IMeCO,789.307087
880161,0.011910,0.011910,695.161290,860,True,0.000000,56.000000,26400.000000,double,y,s,3.000000,100.000000,SPK,765.642857
880162,0.130190,0.130190,815.435540,920,True,0.000000,568.000000,26400.000000,double,y,s,3.000000,110.000000,IMeCO,825.147887
880163,0.012740,0.012740,695.757576,860,True,0.000000,60.000000,26400.000000,double,y,s,3.000000,101.000000,SPK,764.400000
880164,0.129000,0.129000,815.894737,920,True,0.000000,563.000000,26400.000000,double,y,s,3.000000,110.000000,IMeCO,824.866785
880165,0.011860,0.011860,717.500000,850,True,-99.000000,53.000000,26400.000000,double,y,s,3.000000,101.000000,SPK,805.584906
880166,0.141050,0.141050,851.135225,950,True,0.000000,592.000000,26400.000000,double,y,s,3.000000,120.000000,IMeCO,857.736486
880167,0.012800,0.012800,706.515152,870,True,0.000000,59.000000,26400.000000,double,y,s,3.000000,102.000000,SPK,781.016949
